type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-18,156,0.0001593349185210894,0.038331765591202376
M,2,156,2.201964874087062e-05,0.05134585076913514
M,-16,156,6.893216208045756e-05,0.03390281986575475
M,6,156,2.260308826800044e-05,0.038922212979598976
M,-24,156,5.421245067584949e-05,0.03960974809923147
M,-10,156,8.090796752720795e-06,0.04247197616492718
M,4,156,1.5189331057784806e-05,0.035480422994787285
M,-6,156,5.363516525907809e-05,0.03517880773305108
M,-18,156,1.2901235749160369e-05,0.04712787300520042
M,-2,156,2.62914742480489e-05,0.03920151546621491
M,16,1,-1.831502925343993e-06,0.012806473340125791
M,-6,7,1.8586285090921469e-06,0.015012695191289564
M,10,0,-6.855748837232582e-07,0.015482465323785723
M,-32,1,1.6414877624179847e-06,0.01568553996362222
M,7,0,8.118469343789923e-08,0.011228951032413056
M,-34,0,1.9807057567285187e-06,0.010310046836205367
M,6,3,-6.835743721204028e-06,0.017039129739780317
M,-20,0,1.9345132331253066e-06,0.015667205973364646
M,0,1,4.331892261307502e-07,0.01872943776643967
M,-14,3,1.6678204603730073e-06,0.02078822083685972
M,20,0,-7.517290855662539e-06,0.01602091480538134
M,6,19,-1.8346608703789737e-06,0.017881453729091463
M,10,121,-8.657069647939877e-07,0.02524819399403199
M,-10,131,1.5663361622699088e-06,0.02499145924160793
M,-18,155,7.0822976205472385e-06,0.028729051027318788
M,-18,156,7.93617093326713e-06,0.02879379354818039
M,-10,113,2.327950814210934e-06,0.025046876091799227
M,-30,133,3.2891467281811953e-06,0.018650631135833817
M,20,126,-4.430913707955566e-07,0.021492216087129548
M,-20,122,2.4349997688297755e-06,0.022392049627545783
M,2,133,2.052842446456172e-06,0.021688633928521175
M,0,127,6.541282217279725e-06,0.02449216153109944
M,-20,156,7.164553485026787e-06,0.025949720748671218
M,-28,155,6.0382514319233734e-06,0.023477883905014405
M,28,116,-0.00022576767376278735,0.0491161294934503
M,34,142,-0.00035930896564326015,0.05091081554636611
M,6,22,1.4425895843986246e-06,0.02235749035457786
M,-36,7,6.989554408565876e-05,0.02404854663391777
M,-4,92,0.0001947642913517736,0.05594451385867593
M,-62,22,0.00037503618694731064,0.04363878278199897
M,-20,110,0.0005104169680536575,0.06170208987684609
M,-16,80,1.9147536905640364e-05,0.03322540608763512
M,-42,71,0.00032258893550440984,0.02998872056594318
M,-14,115,0.000328905384877179,0.07652967824716238
M,-24,62,3.31737839332958e-05,0.033254118915950974
M,-26,51,2.296638116109944e-05,0.025108748811744207
M,-56,9,7.091597323240896e-05,0.03175567412369854
M,-42,12,0.0001098294131645897,0.030377709666809184
M,-122,8,0.002164637427632176,0.032158007315962606
M,-96,3,0.00011394215425178198,0.026658744098787625
M,-46,19,0.00010610453153091507,0.03646840959411509
M,-34,6,3.067193692782645e-05,0.026690036531889443
M,-38,1,2.7622722250824768e-05,0.024349964207056013
M,-32,28,0.00013484358299892629,0.03598587554939824
M,-28,15,4.754468277736104e-05,0.028104612807193043
M,-38,59,0.0006758990336709665,0.04141188650891005
M,-80,26,0.002963424494424893,0.05553850018312031
M,-104,12,0.0009922128863853374,0.03631654495318072
M,0,104,3.364023909653985e-05,0.04121192840776036
M,8,104,-1.3318793630292155e-05,0.057310411927242
M,28,149,-0.00017753601895661877,0.05786722886920266
M,12,151,-0.00012045413508799935,0.04712701730251371
M,-12,111,4.886146414103248e-05,0.03944521593857249
M,10,149,1.395555247124526e-06,0.041753059368565326
M,2,138,-2.6185253000622e-05,0.04200836633123244
M,0,148,-5.3418905468377146e-05,0.04928376886016034
M,-18,136,6.56579324138004e-06,0.044372721187465027
M,18,140,-4.573298458614545e-05,0.04375879619621799
M,2,129,-4.053316559118251e-06,0.03917464543604178
M,-8,129,0.00011075923328255938,0.04731821352017506
M,4,102,3.899095887910948e-06,0.043969228856848834
M,-28,72,0.0012734670287140018,0.05342127228883329
M,20,126,-0.00010550058655254727,0.048487267176525226
M,20,114,-8.888726590669821e-05,0.05212814715255289
M,8,113,1.5923207542591965e-05,0.04709032971695187
M,8,109,4.317118313826659e-05,0.05184988567884452
M,10,104,-4.0385857348899496e-05,0.0365628952633191
M,26,125,8.870754097546899e-05,0.043689403508799525
M,16,117,-3.6781453688451376e-05,0.034499415079286874
M,20,128,-1.2734575450932955e-05,0.04014532158528581
M,-4,93,5.254124666208999e-05,0.03509914657703062
M,28,130,-3.817876881415652e-05,0.04450680844896996
M,-16,42,2.5016453908409044e-05,0.03180673213232522
M,-4,40,2.7221310061064974e-05,0.03445749400634999
M,8,5,5.356301373213016e-06,0.013828630451608046
M,0,0,0.0,0.0
M,-40,15,0.00012060597780079727,0.02941720243816456
M,-8,84,3.6426645493040075e-05,0.037657599199138
M,-12,66,2.4983392419928706e-05,0.030445106740402315
M,-50,43,0.0001485804858068039,0.030845587604521843
M,20,117,-4.8010637287682474e-05,0.03776814638837881
M,-4,68,2.2919095226510222e-05,0.03150534015340981
M,16,154,-6.691376425640198e-06,0.03410745547137589
M,-20,107,0.0001353808025520076,0.031358528625319154
M,-8,74,6.38939046858141e-05,0.04382109723262991
M,-30,45,0.000124824771366009,0.039506623138235004
M,-24,46,0.00011185724078865977,0.04302325226713316
M,-58,22,0.00038530962440388837,0.04010893482006424
M,-10,40,0.00018092305654798373,0.04265069367245253
M,-12,58,0.00019014086102724694,0.049492969012569686
M,-24,64,8.503687571966306e-05,0.049329466491986565
M,-16,61,0.00011095865187528015,0.039888168059977726
M,-28,34,5.981212007635443e-05,0.03541606548835125
M,-20,27,4.6902960616221794e-05,0.042063734251953984
M,-26,65,8.69985614628195e-05,0.04454032108482752
M,-12,45,5.0744804628009024e-05,0.04229993425937414
M,40,26,-2.502808120556942e-06,0.009210751193134702
M,18,36,-1.2068754022380647e-06,0.0160334557033359
M,-24,28,1.4036454367901594e-05,0.019619021114514218
M,10,25,3.569908712229713e-06,0.020095146426393068
M,-24,43,1.23304160243709e-05,0.014756557794866681
M,6,36,3.851922900468194e-06,0.015501472056345696
M,-14,15,5.062131307876035e-07,0.016101222443912495
M,-32,91,1.4352320293391633e-05,0.026731279748026644
M,-46,0,3.8406401635909223e-07,0.004834702114391364
M,-24,29,7.0008565005491555e-06,0.01473463553758508
M,-2,22,1.0192098576781407e-06,0.017944881902618063
M,-32,37,1.0160134025906934e-05,0.020473420932159706
M,-18,155,6.58443661196046e-05,0.0344311419273402
M,20,124,-3.2810845862625744e-05,0.03573266363095156
M,-16,156,7.021218151482388e-05,0.03950675275930667
M,-30,155,0.000392119480067171,0.04470385626704658
M,-4,40,1.7279872910749656e-05,0.04947795105577538
M,-5,134,-8.333028890732926e-05,0.039273801585405686
M,-6,150,2.4553074084691988e-05,0.04054709925766012
M,-10,141,2.658397758840184e-05,0.03933560656853008
M,-16,155,8.109288110103536e-05,0.04126760484291259
M,-16,145,2.1960095856544968e-05,0.03671290400163726
M,-8,151,2.558409430604513e-05,0.03870152419583012
M,16,138,2.747722573796411e-05,0.0420611471669727
M,-22,4,9.38400352104124e-06,0.01664253816723457
M,-4,0,1.3714629058652153e-06,0.019878549985479742
M,-2,10,1.868205969629921e-05,0.02571869341216831
M,-36,24,3.9761341915113844e-05,0.03246974487624991
M,-38,6,0.000135205658954033,0.029234921616462756
M,-42,9,0.00033475580514049887,0.047584651421580686
M,4,10,5.01140602941078e-06,0.02551341106233529
M,-36,15,3.245823062105671e-05,0.027448426910738653
M,-22,29,1.9794582546982777e-05,0.032082058814736504
M,-18,12,1.9514222851759083e-05,0.030052027363151733
M,-20,12,1.310253012234352e-05,0.028076356285689358
M,-12,37,1.7061728507151087e-05,0.03187620846136075
M,-24,116,0.00012099351725328503,0.035958810007070685
M,-10,89,0.00026031228924169663,0.039689403796034264
M,-26,65,0.00019205610357085428,0.04164820225381968
M,-20,74,0.00010234752286768598,0.04023833194929526
M,-4,107,0.00013365562327314994,0.039980751989788905
M,-38,143,0.0027134627855092404,0.059802401315138316
M,-32,104,0.0021835785518002594,0.0572376541428236
M,-38,88,0.0003414323943541198,0.04207596748696597
M,-28,64,0.00012975957060393117,0.029498146326435562
M,-16,126,0.00028299612896901655,0.0475015122151619
M,-32,62,0.0005780074833687133,0.042822970663850185
M,-38,74,0.00031097170976640245,0.036976266010644784
M,30,0,-1.299399131384189e-06,0.011646615775688878
M,-6,0,2.0057635022075013e-06,0.013326538409036304
M,6,1,3.474215060249938e-06,0.01870905730018701
M,-10,10,7.465725193237165e-06,0.02433350234050637
M,-2,57,1.710123888056963e-05,0.034191336983881535
M,-8,23,1.6510894136611647e-06,0.02515917550338383
M,-24,15,2.559728936043677e-05,0.031373712002275456
M,-4,9,1.046075758302786e-05,0.027394900700506635
M,26,26,-9.417783327957977e-06,0.01681507092773532
M,2,53,-7.069535482561179e-06,0.022505309139351296
M,-10,44,3.6584352561491455e-06,0.019273557796558788
M,-12,17,2.973940121731831e-06,0.021250805640907172
M,14,44,-1.096206728262135e-05,0.020118704636623862
M,-24,66,5.5066326530277004e-05,0.036457349830938554
M,-28,11,3.520039376154718e-05,0.023842630381560856
M,-4,0,-5.94829714710913e-07,0.01471703072560621
M,-22,3,2.320600035980242e-06,0.015350093674502225
M,-8,143,1.5056569518406432e-06,0.034213514744062826
M,-16,138,1.1958333778116355e-05,0.027741724934471735
M,-12,1,9.792437242538897e-07,0.008694890198035373
M,-8,2,9.397248361137209e-07,0.01489794395873891
M,-20,10,6.821833811453196e-06,0.01586206612843709
M,-18,0,4.1125975124648414e-07,0.013029015658204123
M,-8,0,-1.3862071630199984e-07,0.011884638932640463
M,30,0,4.317268862365363e-08,0.00930595546420286
M,8,86,9.730520823996684e-06,0.021562242039210033
M,0,152,1.9198656498321517e-05,0.03220210696416741
M,-4,119,2.6259940802613047e-05,0.042099587041801584
M,-22,50,2.9287106830399164e-05,0.025939383044700292
M,-24,33,6.051636320127044e-06,0.02371597701534881
M,-34,25,3.5839326588846e-05,0.02308745460561569
M,-12,42,1.5849571721747615e-05,0.024226280396780337
M,-8,25,3.9408386370622446e-05,0.02497852120316923
M,-10,0,1.0038968615995432e-06,0.02009075008243212
M,-28,54,0.0004959930667514381,0.05504613557306719
M,-34,38,0.0002544497910681694,0.041643913940139984
