type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-18,156,0.0001593349185210894,0.038331765591202376
M,2,156,2.201964874087062e-05,0.05134585076913514
M,-16,156,6.893216208045756e-05,0.03390281986575475
M,6,156,2.260308826800044e-05,0.038922212979598976
M,-24,156,5.421245067584949e-05,0.03960974809923147
M,-10,156,8.090796752720795e-06,0.04247197616492718
M,4,156,1.5189331057784806e-05,0.035480422994787285
M,-6,156,5.363516525907809e-05,0.03517880773305108
M,-18,156,1.2901235749160369e-05,0.04712787300520042
M,-2,156,2.62914742480489e-05,0.03920151546621491
M,16,1,-1.831502925343993e-06,0.012806473340125791
M,20,126,-0.00010550058655254727,0.048487267176525226
M,20,114,-8.888726590669821e-05,0.05212814715255289
M,8,113,1.5923207542591965e-05,0.04709032971695187
M,8,109,4.317118313826659e-05,0.05184988567884452
M,10,104,-4.0385857348899496e-05,0.0365628952633191
M,26,125,8.870754097546899e-05,0.043689403508799525
M,-12,45,5.0744804628009024e-05,0.04229993425937414
M,40,26,-2.502808120556942e-06,0.009210751193134702
M,18,36,-1.2068754022380647e-06,0.0160334557033359
M,-24,28,1.4036454367901594e-05,0.019619021114514218
M,10,25,3.569908712229713e-06,0.020095146426393068
M,-24,43,1.23304160243709e-05,0.014756557794866681
M,6,36,3.851922900468194e-06,0.015501472056345696
M,-14,15,5.062131307876035e-07,0.016101222443912495
M,-32,91,1.4352320293391633e-05,0.026731279748026644
M,-46,0,3.8406401635909223e-07,0.004834702114391364
M,-24,29,7.0008565005491555e-06,0.01473463553758508
M,-2,22,1.0192098576781407e-06,0.017944881902618063
M,-32,37,1.0160134025906934e-05,0.020473420932159706
M,-18,155,6.58443661196046e-05,0.0344311419273402
M,20,124,-3.2810845862625744e-05,0.03573266363095156
M,-16,156,7.021218151482388e-05,0.03950675275930667
M,-30,155,0.000392119480067171,0.04470385626704658
M,-4,40,1.7279872910749656e-05,0.04947795105577538
M,-5,134,-8.333028890732926e-05,0.039273801585405686
M,-6,150,2.4553074084691988e-05,0.04054709925766012
M,-10,141,2.658397758840184e-05,0.03933560656853008
M,-16,155,8.109288110103536e-05,0.04126760484291259
M,-16,145,2.1960095856544968e-05,0.03671290400163726
M,-8,151,2.558409430604513e-05,0.03870152419583012
M,16,138,2.747722573796411e-05,0.0420611471669727
M,-22,4,9.38400352104124e-06,0.01664253816723457
M,-4,0,1.3714629058652153e-06,0.019878549985479742
M,-2,10,1.868205969629921e-05,0.02571869341216831
M,-36,24,3.9761341915113844e-05,0.03246974487624991
M,-38,6,0.000135205658954033,0.029234921616462756
M,-42,9,0.00033475580514049887,0.047584651421580686
M,4,10,5.01140602941078e-06,0.02551341106233529
M,-36,15,3.245823062105671e-05,0.027448426910738653
M,-22,29,1.9794582546982777e-05,0.032082058814736504
M,-18,12,1.9514222851759083e-05,0.030052027363151733
M,-20,12,1.310253012234352e-05,0.028076356285689358
M,-12,37,1.7061728507151087e-05,0.03187620846136075
M,-24,116,0.00012099351725328503,0.035958810007070685
M,-10,89,0.00026031228924169663,0.039689403796034264
M,-26,65,0.00019205610357085428,0.04164820225381968
M,-20,74,0.00010234752286768598,0.04023833194929526
M,-4,107,0.00013365562327314994,0.039980751989788905
M,-38,143,0.0027134627855092404,0.059802401315138316
M,-32,104,0.0021835785518002594,0.0572376541428236
M,-38,88,0.0003414323943541198,0.04207596748696597
M,-28,64,0.00012975957060393117,0.029498146326435562
M,-30,50,1.4193994160199065e-05,0.02556063550800288
M,10,126,2.504407109024482e-06,0.022813452865748294
M,-30,24,5.598391029432015e-05,0.03053921695535769
M,6,74,4.208121568982036e-06,0.026443211362196663
M,-6,141,-8.38319454865135e-06,0.02949302466077766
M,-6,59,1.6902909918044288e-05,0.027240247808367608
M,-2,84,4.65528933097814e-06,0.031360651474816946
M,-12,44,1.782953120125243e-05,0.02612907436418986
M,2,129,-8.25150567356823e-06,0.021357829972912565
M,-16,42,2.066647275646344e-05,0.026181423337789632
M,-10,152,0.00014730032572067363,0.04429673308968463
M,-22,124,1.4789131516885317e-05,0.04046283602933782
M,10,119,1.5765868704079737e-06,0.036219384309665446
M,-20,107,0.0005004870389308577,0.0658747254460455
M,-50,148,0.0006198020077146508,0.043348113254752324
M,-38,125,0.000345122763628877,0.04304418093012687
M,0,127,2.2044938321885033e-05,0.031202390970307345
M,-18,156,0.00020215348181094238,0.04618147969937954
M,2,148,5.616630223969509e-05,0.04090357877795171
M,-8,130,3.8991242311314974e-05,0.04181972626640539
M,-30,145,0.0005294422849947607,0.04961109107164188
M,-8,124,2.8421260802409204e-05,0.03218560402325042
M,-10,130,0.00013211995755115427,0.06895340356225435
M,-12,111,0.00015649077783229772,0.05561457441573958
M,-24,136,0.00012586114032578824,0.05639865379520263
M,-16,122,8.17887868520107e-05,0.04030239030176504
M,-6,136,0.00021734161871079155,0.07057542068089111
M,6,148,2.9490673585798576e-05,0.061537958555774895
M,6,123,-1.1196878999604883e-05,0.055609060950181984
M,-6,132,6.160513252036349e-05,0.053431540176357206
M,-4,102,5.8012801623164854e-05,0.05332529131494206
M,-2,139,4.3092075560332425e-05,0.050572389192977116
M,0,120,8.18388799123965e-05,0.05863008462117434
M,12,120,1.749619154198923e-05,0.05921015002372178
M,-18,155,3.9553339625181364e-05,0.036232583784522245
M,12,155,1.1969649970225829e-06,0.03505279331843456
M,18,153,-5.4470245246804175e-06,0.04029903890419009
M,24,154,-4.2315225053148816e-05,0.03141043599952073
M,4,155,-1.2081231965647152e-05,0.03506422307929225
M,-32,62,5.9137064432213396e-05,0.042016365381157716
M,-28,64,9.475077440913317e-05,0.04175971245352853
M,-24,125,3.2578799841598626e-05,0.037370355537964375
M,2,131,1.8770814707991505e-05,0.03453876485710499
M,-20,79,0.00012171515226897813,0.042414258675779436
M,-24,81,8.400772473387446e-05,0.0452670527318122
M,-46,80,0.00024029027952890495,0.04185430459417494
M,-40,79,0.00028997362485425136,0.05066892326531345
M,-26,89,0.0003541002850153226,0.046492480771786276
M,-34,65,0.00013102249441535263,0.04126582100986145
M,-26,59,8.87142649685205e-05,0.03637659967520178
M,-16,70,6.805186091459115e-05,0.043230276557709606
M,4,156,-2.89617558227444e-06,0.041597467342798726
M,-22,156,0.00010921645303408706,0.03925105829609419
M,-2,154,-1.1673418484430585e-05,0.036908186691049866
M,14,154,-2.1585229137459142e-07,0.04655597712218506
M,22,149,-3.813931569270906e-05,0.043318392288197775
M,-12,154,1.141693346495219e-05,0.04211995643791962
M,14,150,-4.183130540159441e-05,0.0470374901485421
M,16,18,-7.0906651454981585e-06,0.01950376983354304
M,-18,20,3.3174755882413633e-06,0.016803646713214566
M,-4,5,3.291404527347813e-06,0.019957607635977016
M,-34,16,3.446709627780978e-05,0.02108718672451018
M,28,46,-5.893061703211573e-06,0.014803332082518276
M,-36,136,0.00012096680593616026,0.031698092646877035
M,-24,59,1.4799846086722981e-05,0.025249360195882524
M,-22,84,1.0387525734889858e-05,0.02567547469450445
M,-18,49,9.833092753877382e-05,0.03896867791906724
M,-34,1,4.928590290213903e-06,0.016706455367680697
M,14,20,-5.522514394384324e-06,0.023163740193150362
M,-26,16,7.305943010877519e-06,0.02223642657762067
M,-10,34,3.630897683783225e-05,0.037264520471512
M,-10,73,3.1704730212870036e-05,0.036932892726836926
M,-12,148,6.82963934571492e-05,0.04080800638990463
M,-10,68,4.385150408927086e-05,0.043538114585260114
M,-26,46,5.760452513807485e-05,0.04626347672094339
M,-4,73,6.833081631617579e-06,0.030173936400584137
M,-4,86,3.1677010981460345e-05,0.0407871544330977
M,-16,73,6.676913554617605e-05,0.036579960760281464
M,-8,124,2.8516102092630065e-05,0.04153540638251994
M,-14,71,0.00012578943725143578,0.044332916952998805
M,-20,119,4.5929656132691995e-05,0.0427590506895865
M,-4,111,8.54944674389803e-07,0.03853195135598433
M,14,129,-1.4467539885909718e-05,0.03417324724958579
M,-14,50,4.096928251537985e-05,0.03258198051693288
M,0,136,-1.3664026735308688e-05,0.03833642440369435
M,10,122,-2.7221786122962543e-06,0.03116716760461702
M,-6,75,2.2034614380786994e-05,0.032292563809325325
M,-12,130,1.4966376757844695e-05,0.036887108475459375
M,-8,81,3.797922126152867e-05,0.03568507045388701
M,-14,129,2.417413618491428e-05,0.03824734132016409
M,-10,126,2.4907641516818742e-05,0.03610095699298322
M,-24,104,4.512129308562039e-05,0.034010947713133476
M,-8,109,3.908676379435298e-06,0.032218065017193105
M,-20,146,1.4802748717194966e-05,0.03747724106515558
M,-70,61,0.002787941321631977,0.09073507066727508
M,-56,68,0.0028714647347193897,0.08756413426208332
M,-26,5,1.2312629215721777e-05,0.020126434629211584
M,-2,132,1.326163030091898e-06,0.020705131734802252
M,2,98,3.216869450233427e-07,0.01909226463147507
M,-28,137,2.194461834841972e-05,0.02303290946493027
M,-32,156,6.447659733206505e-05,0.023809316343617645
M,-2,136,-1.5982621427263942e-06,0.01773660287347918
M,-14,40,5.6869603248792246e-08,0.018355989950957677
M,-12,108,1.722949216079632e-05,0.019015668702341976
M,-6,126,1.0788477589569701e-05,0.02865017937528242
M,-24,59,1.7480040735429616e-05,0.027969590835956553
M,-40,96,8.182167416995454e-05,0.02932248185735074
M,0,8,-7.571127788306552e-07,0.01705302393910922
M,-40,25,1.7386416669143222e-05,0.016305816399870037
M,-28,116,7.815237994318493e-06,0.032055311518533
M,-8,141,-1.0360155098724512e-05,0.02988885128449239
M,-16,128,7.392892552103108e-06,0.0318355180676707
M,2,119,6.993797986960744e-06,0.03357541295869939
S,-12,107,0.00011053500517391162,0.04706163913961631
S,0,81,0.00014987787139715487,0.047914950797686796
S,-6,78,0.00017045686466628625,0.04757340415583365
S,-18,143,0.0002568580346905014,0.07127656072740857
S,-10,98,0.0007590231765929901,0.054251748313630006
S,-38,79,0.003334268512801359,0.06650412801858273
S,-6,92,0.0006703496266721389,0.05436966842168762
S,4,61,0.00010282570305676061,0.039714072035490114
S,-32,31,9.773525864741373e-05,0.032596063805201296
S,-12,66,0.0002651954675985881,0.043061918444732776
S,4,84,1.74045111197678e-05,0.047582028194223525
S,-4,61,0.00010162350643050566,0.04604288547372289
S,-90,65,0.009724430286296243,0.08751627584457203
