type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-18,25,0.0001612242289284267,0.03848267668766592
M,2,30,2.228076183265649e-05,0.051548000018156806
M,-16,23,6.974952294245801e-05,0.03403629500237426
M,6,19,2.2871111712026587e-05,0.03907544920632323
M,-24,30,5.485527413564386e-05,0.03976569196846703
M,-10,27,8.186742189096777e-06,0.042639188953569385
M,4,18,1.5369435140699167e-05,0.03562010781368562
M,-6,27,5.42711408399782e-05,0.0353173069941322
M,-18,25,1.3054221721996968e-05,0.047313416216155285
M,-2,24,2.660324202867201e-05,0.03935585309967582
M,16,33,-1.8532201897612467e-06,0.012856892688288286
M,-6,24,1.8806673772706073e-06,0.015071800921775355
M,10,43,-6.937041126861955e-07,0.015543420553769765
M,-32,33,1.6609519292192831e-06,0.015747294140511212
M,26,16,8.214737671244972e-08,0.011273159245147176
M,-34,61,2.0041921358849065e-06,0.01035063752408014
M,6,41,-6.916799169159921e-06,0.01710621324824787
M,-20,46,1.9574520277050673e-06,0.015728888128843294
M,0,49,4.3832566971744304e-07,0.018803175952355276
M,-14,34,1.6875968413716417e-06,0.020870064474908353
M,20,64,-7.606427933250829e-06,0.0160839893837525
M,6,30,-1.85641603554209e-06,0.017951853030882512
M,10,24,-8.759711653147866e-07,0.02534759695304594
M,-10,17,1.584909259701665e-06,0.02508985054083182
M,-18,19,7.166275644637501e-06,0.028842157749618024
M,-18,17,8.030273618237054e-06,0.028907155131344037
M,-10,23,2.3555550685861625e-06,0.02514548556773924
M,-30,10,3.328148723418799e-06,0.01872405795431496
M,20,16,-4.4834555280767924e-07,0.02157683038167916
M,-20,13,2.4638735544923716e-06,0.022480206642846293
M,2,20,2.0771842729090606e-06,0.021774022218435527
M,0,17,6.618847090405868e-06,0.024588587368455966
M,-20,17,7.2495084422288375e-06,0.026051884385345083
M,-28,14,6.109852126737641e-06,0.02357031738645426
M,24,70,-0.00022844471736929107,0.04930950042527215
M,34,34,-0.0003635694910893033,0.051111251679205924
M,6,35,1.4596949830131922e-06,0.022445511939226868
M,-36,37,7.072433918181292e-05,0.024143226745179394
M,-4,69,0.00019707371356570628,0.05616476746251031
M,-62,35,0.00037948319509584157,0.04381058817851605
M,-20,48,0.000516469236861872,0.06194501041193606
M,-16,46,1.9374581911215243e-05,0.03335621460337048
M,-42,25,0.0003264140453627123,0.03010678621287252
M,-14,52,0.00033280537527276386,0.07683097573477782
M,-24,40,3.356714802366125e-05,0.03338504091419359
M,-26,39,2.3238707817739218e-05,0.025207602820147473
M,-56,42,7.175686781585457e-05,0.03188069676991437
M,-42,51,0.00011113171778707392,0.030497306199306844
M,-122,14,0.0021903047718443286,0.03228461322329282
M,-96,23,0.00011529323925360137,0.02676370008579052
M,-46,50,0.00010736267835466829,0.036611986235275486
M,-34,44,3.103563009824554e-05,0.02679511542905649
M,-38,50,2.79502634725558e-05,0.024445830492261674
M,-32,50,0.0001364425042294608,0.03612755262319594
M,-28,54,4.810844673019843e-05,0.02821526085945703
M,-38,52,0.0006839135798360494,0.04157492533650645
M,-80,33,0.0029985633479244368,0.055757154766372496
M,-104,23,0.00100397813137967,0.03645952256740369
M,0,46,3.403913949541792e-05,0.04137418094382287
M,8,55,-1.3476724321074969e-05,0.057536043391602135
M,28,34,-0.0001796411588217109,0.05809505281033535
M,12,22,-0.00012188242298631524,0.047312556475004965
M,-12,46,4.9440843741494296e-05,0.03960051259894256
M,10,30,1.4121067242065488e-06,0.041917441594733464
M,2,46,-2.6495755101054722e-05,0.04217375352463867
M,0,36,-5.405233214839461e-05,0.04947779884313976
M,-18,42,6.643647815626733e-06,0.04454741678092778
M,18,39,-4.627527026357338e-05,0.04393107378432638
M,2,51,-4.101384710537737e-06,0.03932887584317752
M,-8,44,0.00011207255887582135,0.047504504851342125
M,4,56,3.945328188291453e-06,0.04414233526618635
M,-28,48,0.0012885671881710202,0.05363159177021731
M,20,54,-0.00010675156737048234,0.04867816229295168
M,20,62,-8.994125642779702e-05,0.05233337464117741
M,8,52,1.6112023927616566e-05,0.04727572499806647
M,8,61,4.3683089196066435e-05,0.05205401891025872
M,10,67,-4.086473679131885e-05,0.03670684358596905
M,26,43,8.97593821470244e-05,0.043861407820419626
M,16,57,-3.721759666282588e-05,0.034635238951944806
M,20,44,-1.2885578598137146e-05,0.04030337411945406
M,-4,60,5.3164247274299684e-05,0.03523733219293708
M,28,44,-3.86314773960671e-05,0.04468203199352288
M,-16,47,2.531308592135253e-05,0.031931955132728417
M,-4,47,2.7544090826961894e-05,0.03459315344498203
M,8,73,5.4198144124001675e-06,0.013883074051781906
M,0,0,0.0,0.0
M,-40,45,0.00012203607041573957,0.029533018122962773
M,-8,56,3.685857719681394e-05,0.03780585837506402
M,-12,45,2.5279632010832794e-05,0.030564969082151925
M,-50,36,0.0001503422859119137,0.030967027340435636
M,20,56,-4.8579926025539903e-05,0.03791684036966368
M,-4,66,2.3190859755365903e-05,0.03162937687018016
M,16,15,-6.770719313235975e-06,0.03424173715217033
M,-20,48,0.0001369860955927815,0.03148198747251739
M,-8,49,6.465153017605731e-05,0.043993621409975966
M,-30,45,0.00012630489053327659,0.039662161307512885
M,-24,49,0.0001131835950224544,0.04319263554889619
M,-58,36,0.00038987845384599103,0.04026684413367575
M,-10,57,0.00018306835168403364,0.04281860966492663
M,-12,54,0.00019239546704599112,0.049687822942663704
M,-24,55,8.60452064655197e-05,0.04952367652090787
M,-16,54,0.00011227434708703823,0.040045208313664434
M,-28,52,6.052134985852728e-05,0.035555498914790415
M,-20,56,4.745911616936908e-05,0.042229339591709526
M,-26,56,8.803015070105104e-05,0.04471567668205812
M,-12,54,5.1346511487680036e-05,0.04246646942808229
M,40,26,-2.5324859314414285e-06,0.009247014122384425
M,18,28,-1.2211858793195546e-06,0.016096579522952164
M,-24,40,1.4202890779422083e-05,0.01969626090284539
M,10,38,3.6122382170403657e-06,0.020174261222895278
M,-24,30,1.2476624728153261e-05,0.014814654212558944
M,6,31,3.8975969348879614e-06,0.015562501591534486
M,-14,37,5.122153150856275e-07,0.016164612926595354
M,-32,29,1.4522505372297715e-05,0.026836520868164272
M,-46,8,3.886179250329475e-07,0.004853737214374168
M,-24,47,7.083869160415851e-06,0.014792645842392078
M,-2,25,1.031295234352655e-06,0.018015531029376836
M,-32,31,1.028060718140631e-05,0.020554024720505337
M,-18,24,6.662511686255958e-05,0.034566696816002725
M,20,43,-3.3199903062614914e-05,0.03587334329960359
M,-16,22,7.104473460411607e-05,0.0396622923978945
M,-30,42,0.000396769083152835,0.04487985581436273
M,-4,62,1.7484769239081684e-05,0.0496727463869959
M,0,46,-8.431838492683338e-05,0.039428423357399954
M,-6,27,2.4844215823311708e-05,0.0407067344108623
M,-10,27,2.6899198218532667e-05,0.039490471489806264
M,-16,18,8.205444541980308e-05,0.04143007521184887
M,-16,33,2.2220486401234662e-05,0.03685744202333227
M,-8,31,2.588746722816588e-05,0.03885389362428837
M,16,33,2.7803034294446678e-05,0.04222674194398884
M,-22,43,9.495275287486616e-06,0.016708060143826736
M,-4,52,1.3877247327479259e-06,0.019956812077573396
M,-2,56,1.8903582271643006e-05,0.025819948091330806
M,-36,44,4.0232816086828286e-05,0.03259757853829429
M,-38,42,0.0001368088727316377,0.029350019472315195
M,-42,40,0.00033872517362858515,0.04777199168967094
M,4,54,5.0708290379634974e-06,0.02561385751888045
M,-36,45,3.284310692875664e-05,0.027556491772741287
M,-22,41,2.0029297120196343e-05,0.03220836609811635
M,-18,47,1.9745613217117748e-05,0.03017034230195891
M,-20,44,1.3257892998273279e-05,0.028186892633771728
M,-12,49,1.7264038723291696e-05,0.03200170512111402
M,-24,37,0.0001224281985847983,0.03610037904057744
M,-10,50,0.00026339897954276843,0.03984566123288317
M,-26,46,0.0001943334306258486,0.0418121722564574
M,-20,59,0.00010356112252000543,0.04039675107625007
M,-4,59,0.00013524044002272584,0.04013815678772571
M,-38,36,0.0027456378533159,0.060037843250394955
M,-32,32,0.002209470597878263,0.05746299847299708
M,-38,40,0.0003454809650960074,0.04224162056858031
M,-28,49,0.0001312982020092928,0.029614280221730235
M,-16,53,0.0002863517738442542,0.047688525214547396
M,-32,37,0.0005848612698064576,0.04299156563078222
M,-38,44,0.0003146590779201816,0.03712184126581781
M,30,54,-1.314806973719993e-06,0.011692468983543937
M,-6,56,2.0295471180120976e-06,0.013379005243874453
M,6,38,3.515410397113406e-06,0.018782715084735807
M,-10,43,7.554249890284967e-06,0.024429303257771026
M,-2,40,1.730402036303931e-05,0.03432594849474251
M,-8,53,1.670666175396846e-06,0.025258227322703587
M,-24,46,2.5900810477977025e-05,0.031497230476414034
M,-4,51,1.0584797069894786e-05,0.027502754776929823
M,26,52,-9.52945602482823e-06,0.01688127194270291
M,2,53,-7.153363998264023e-06,0.02259391278517064
M,-10,50,3.701814913815542e-06,0.019349438188699764
M,-12,48,3.0092038079074093e-06,0.02133447020134351
M,14,55,-1.1092051310462133e-05,0.020197912339903135
M,-24,47,5.571927284386649e-05,0.036600882238595395
M,-28,44,3.561778762564363e-05,0.02393649933713278
M,-4,42,-6.018829661934353e-07,0.014774972203903457
M,-22,24,2.34811693692363e-06,0.015410526970894385
M,-8,29,1.5235117495984945e-06,0.03434821328647656
M,-16,38,1.2100132728141348e-05,0.027850945031912062
M,-12,14,9.908552473694678e-07,0.008729121789053102
M,-8,39,9.508676627575946e-07,0.014956597077041806
M,-20,32,6.902723915785718e-06,0.01592451493444967
M,-18,37,4.161362312323346e-07,0.013080310859835671
M,-8,16,-1.4026433174647373e-07,0.011931428777902701
M,30,15,4.3684619626940076e-08,0.009342592791234207
M,8,54,9.845903878824804e-06,0.02164713273287272
M,0,23,1.942630495957879e-05,0.03232888740544959
M,-4,35,2.657131963121977e-05,0.042265333067161216
M,-22,39,2.963437799464982e-05,0.026041506484814785
M,-24,33,6.123392965224726e-06,0.023809346495690078
M,-34,31,3.626429280547883e-05,0.023178349989431246
M,-12,36,1.603750969165089e-05,0.024321659475679033
M,-8,38,3.987567349980667e-05,0.02507686154242774
M,-10,44,1.0158005068916348e-06,0.02016984749279739
M,-28,50,0.0005018742893240066,0.05526285141846339
M,-34,50,0.0002574669469180985,0.04180786624228545
M,-14,58,0.000276037578072575,0.07959139144628652
M,8,61,1.9252631340781566e-05,0.0805388547995236
M,-2,52,3.965349296836181e-05,0.04150562604847279
M,-18,45,8.369666078434008e-05,0.03731366806247968
M,-60,38,0.00042289166522291213,0.03505882349023672
M,-6,55,5.694156912490297e-05,0.02721608015647712
M,-10,59,2.7857067861971455e-05,0.03109368827479106
M,-12,65,0.0005465963442009696,0.03419322272150203
M,28,61,-8.277159781546459e-06,0.01229976317288632
M,-2,45,2.8786643489821685e-06,0.013228379768415835
M,-56,40,0.00017006486937123965,0.027110149177107596
M,2,50,-2.265098346063236e-06,0.013060517355619748
M,-8,44,1.3420134504245068e-05,0.02400101893453663
M,-6,42,2.4113153328498306e-05,0.024639306257800062
M,12,55,-1.988869169415338e-07,0.019585663166496903
M,8,59,-7.62129783899387e-05,0.054383496148055266
M,-2,68,0.00014074531911796375,0.05395220642053432
M,-26,57,6.259715401040242e-05,0.04367794124164403
M,24,57,-0.0002807489042687536,0.056167224850894676
M,36,63,-0.00037887291296965494,0.06977782752439622
M,-6,60,7.139630102670845e-05,0.0716377613613685
M,-2,60,-8.2504345745393e-06,0.06988447179928002
M,36,28,-1.7687621055744874e-07,0.009058029865346148
M,-36,42,1.0684015791998482e-06,0.007455856187863639
M,-8,40,-2.3295573207822533e-08,0.020432695550834722
M,-8,58,1.8382804772536966e-05,0.029394170009424476
M,-24,27,1.370886834026057e-05,0.02316415029032943
M,0,28,5.031740467113951e-06,0.026850701284572072
M,-18,35,6.359773457912303e-06,0.017544872490689454
M,-28,32,2.7735043089408995e-05,0.023160111076352186
M,10,60,2.2822771034737277e-07,0.02632827680179845
M,0,42,-5.195361013096466e-07,0.020646913974751293
M,0,41,4.947919092270553e-06,0.027820720969434717
M,0,56,3.7862901444983855e-05,0.03235677398847423
M,-4,53,1.962840701741238e-06,0.03213147578645737
M,-12,32,5.8025107401016656e-05,0.03618477641712485
M,-54,28,1.2260814261229421e-05,0.013899561608930272
M,-44,37,4.1641763093128036e-06,0.010672132485280492
M,-56,39,0.0006177889632991055,0.027329204292093075
M,-46,44,6.069529846905262e-06,0.012711298143641327
M,-48,44,2.846557351908651e-05,0.013728580895398893
M,14,58,2.562699251844207e-06,0.009087966476740176
M,-70,29,0.0032563710531170534,0.03510393714790793
M,-40,18,1.3064002158350883e-07,0.0062365272532704545
M,-4,46,8.946605301563392e-05,0.04155230971871976
M,-12,45,6.908889834110303e-06,0.04260470684278673
M,14,41,-3.1122748828221434e-05,0.03967993594438412
M,0,40,-8.982131937688805e-06,0.040378125058129
M,-20,29,0.0011417866291381163,0.06158690512944958
M,14,47,1.1811619597778203e-05,0.04213763608429614
M,-12,31,5.597449252147845e-06,0.035833917868579944
M,16,54,2.5587243026544917e-05,0.047602325245190855
M,-16,32,0.00010099203322049146,0.04424661228464504
M,-60,40,0.0008828810767278758,0.041454920964771665
M,14,29,2.0908063761768395e-06,0.032109683010653985
M,-2,31,1.112340961180608e-05,0.035671420622932645
M,-20,25,3.7674387276583747e-06,0.020054686820664122
M,-8,37,-9.67477580918951e-07,0.02007825389242546
M,-20,33,4.098499171746097e-06,0.02038746114500619
M,14,29,8.106334975979552e-07,0.021481957331594637
M,-18,33,6.2206165570169974e-06,0.015709556263482173
M,-10,31,4.5766973150012784e-06,0.01626146853078975
M,-24,41,1.1080197519194343e-05,0.017686097850850027
M,-14,35,2.894116922881779e-06,0.022683397688542186
M,-2,34,6.659646555817643e-06,0.029922876050778435
M,-12,13,1.0535547627618029e-05,0.033303389817366254
M,0,53,3.427398941778523e-05,0.028075455070806696
M,4,24,1.8889095755293547e-06,0.02114132742315741
M,-68,28,0.0012195896382773395,0.045691055147408906
M,-36,48,7.839594969111214e-05,0.03204047036509099
M,-46,40,0.000324293925791085,0.044105006803438165
M,-48,33,0.00035768998657988084,0.03762069039849968
M,-14,53,3.790951539289077e-05,0.031167321957331115
M,-12,53,1.6037872742189165e-05,0.030913061920732433
M,-44,46,0.0006065394285278612,0.04238267637661803
M,-56,36,0.00030801927158954505,0.046864573134796195
M,-38,39,0.00024972560734579606,0.04516716268056339
M,-8,56,1.2570009182551683e-05,0.029257462722831248
M,-44,46,0.0008971401315532157,0.05426412807433872
M,-46,33,0.0007014074296594765,0.03516192793656399
M,-22,45,6.650139807858543e-05,0.028340083585688913
M,-28,49,4.452479676021774e-05,0.03431607996467912
M,-10,44,3.74628245565353e-05,0.026514003520655974
M,-8,46,0.000263583273917926,0.03440318493897789
M,-32,51,0.0002390686929147158,0.033141663922309855
M,-46,47,0.00024839257711323427,0.025154387542249575
M,-24,57,0.0006551617776517348,0.04021443342757035
M,-2,47,8.34810657495476e-06,0.029313573515072612
M,-26,39,8.488081808511937e-05,0.04496128946704304
M,-18,46,6.499950495304194e-05,0.04200091689680657
M,-38,49,3.909057101609053e-05,0.022189382901820837
M,-30,56,0.0003515134547751795,0.02817212578579823
M,-36,45,4.277997747863477e-05,0.032133985546879226
M,-48,37,0.00016116453725028012,0.03519519652053268
M,-26,53,0.0001034248578183273,0.03157114919218357
M,14,67,-1.536863674627944e-05,0.02918546547017703
M,-28,44,0.0001490272821732148,0.02651400415569117
M,0,51,7.700901138554508e-06,0.02367941513271886
M,-28,44,3.3341814247561254e-05,0.02972659008636583
M,-6,51,4.140430387163174e-07,0.03087703926274063
M,-14,45,3.968261311964595e-05,0.035597788401282054
M,-28,56,4.384560842055331e-05,0.03061337372203156
M,-4,42,2.6926066505566383e-05,0.045256133419208436
M,-8,35,8.658250875998591e-05,0.042717977318675084
M,4,55,-5.790082218962567e-05,0.04768926924064225
M,10,62,-6.687386433280887e-05,0.036747333780535636
M,-30,55,0.00011881088835639511,0.05111520290359543
M,-16,47,9.719455399195041e-05,0.06537298949065466
M,-6,43,2.0601650896948053e-05,0.0438196446617412
M,-4,17,-1.7170118974245586e-05,0.03946084040922119
M,18,32,-4.176625834232358e-05,0.04051531864175698
M,-10,31,6.174007651306165e-05,0.03689399078948465
M,-12,28,8.93115995933569e-06,0.041945597387249046
M,24,51,-0.0002815877961440792,0.048183675101031415
M,-6,43,-1.0880475158380806e-07,0.04500599464864033
M,-10,45,1.5505762921927003e-05,0.039237249454825915
M,-4,38,4.426833308577741e-05,0.036708337396365455
M,-24,29,3.1966893945410696e-05,0.03567767785631219
M,-6,42,4.701025388315677e-06,0.04313568822053168
M,-2,57,8.26630322079406e-05,0.03967793548574905
M,-20,40,4.6985790998657414e-05,0.038091489121172835
M,-6,41,4.340786155766038e-05,0.03646782100787109
M,-20,43,3.7483579716776875e-05,0.03791253459911518
M,-14,43,4.0478916932434536e-05,0.03711923520182263
M,-16,44,4.287449934446021e-05,0.03704189707958287
M,-14,40,2.564157226864117e-05,0.04082402132621201
M,-14,49,2.9728857822079057e-05,0.03669868694742472
M,-18,50,6.729874064003767e-05,0.03651734097838867
M,-22,49,6.673402943389078e-05,0.04482731214922338
M,-10,54,6.633996268919967e-05,0.03870259332715434
M,-22,47,5.786414352528871e-05,0.03953684142590761
M,-28,41,0.00012838206271941554,0.05150455145092887
M,-36,47,6.361426953642664e-05,0.03688953216271782
M,-24,55,6.06026128625221e-05,0.04550632949530543
M,-20,53,8.177363830344933e-05,0.046064124297103805
M,-26,46,5.819766625841671e-05,0.04426140906662326
M,-30,52,0.0001115314044048352,0.048693268838648614
M,-40,45,0.00016506338614809623,0.04152635594102583
M,8,59,-8.288846052921199e-06,0.029691388193740346
M,2,72,7.209413879630497e-06,0.027454694315702653
M,-8,40,4.908793607143067e-06,0.02079418884974679
M,-28,51,1.4448567926274376e-05,0.02023547331251732
M,30,79,-9.457198678225916e-05,0.022911634268221057
M,-4,46,9.674658962043444e-07,0.02464126951699113
M,-40,52,3.5912986541554765e-05,0.020282000579310476
M,-50,53,0.00012091025436656678,0.022155834190646508
M,-2,53,2.9732422805578616e-05,0.03312575686210597
M,-24,48,3.739095782794876e-05,0.04144480498541002
M,-22,38,7.532745123896478e-06,0.02593112619409992
M,-56,43,2.5162171992285344e-05,0.0345831181854089
M,-6,39,5.202419930764106e-06,0.034114508978694745
M,-32,48,8.650027400633962e-05,0.04410921864079754
M,-50,33,8.248992127658343e-05,0.041827058352654635
