type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-46,46,0.00040202350853079977,0.0825165553297824
M,-12,0,-2.3387886407557832e-07,0.012495986081552281
M,-24,31,4.9419336454396416e-05,0.03380415652144334
M,-60,60,0.001327277004139074,0.061031760114476044
M,-60,53,0.002041763347062157,0.06472377432839348
M,-58,75,0.0013741975511260246,0.06499353274228521
M,-52,52,0.0014148889230486132,0.06045081919651604
M,-44,73,0.0012281133082460035,0.058443116244265576
M,-34,78,0.0018941626849727506,0.07144226491410376
M,-18,103,0.0007599844898354603,0.06032078363693966
M,-48,58,0.002094969904837583,0.06925949601617101
M,-24,78,0.0009429012071228181,0.06126345729640149
M,-50,58,0.001459817896520581,0.052804780548310844
M,-16,35,7.734459945393951e-05,0.028694256495622864
M,-56,57,0.001854914099774698,0.05805261272314108
M,-32,75,0.001098348307091032,0.06472823178460023
M,-40,65,0.002059154847107895,0.06417998184743774
M,-38,81,0.0007831400774129014,0.05362259331658941
M,-40,85,0.0014453792729812235,0.053780875883770216
M,-38,117,0.0003913367635760588,0.05745438673329175
M,-6,91,0.00030896798634892663,0.04699437688929366
M,-54,19,0.00040885286158171203,0.04340665350250573
M,-62,3,1.4391357199470062e-05,0.018749685529013776
M,-30,62,0.00018509348823061205,0.03340188806759196
M,-34,15,3.988008890652121e-05,0.023117116294355793
M,-24,24,1.687996915115871e-05,0.024496844321187296
M,-8,15,1.8734954010209586e-05,0.018931474341813012
M,-2,19,2.6552717014741e-05,0.02956805858116331
M,-38,35,5.8118727561346085e-05,0.025226176424763942
M,-44,74,0.0004607276983270356,0.03749667044796062
M,-64,58,0.002544652055171175,0.0648153046422184
M,16,13,9.180087216720091e-07,0.010506721082862228
M,-48,92,0.001247636190347937,0.04845517583823748
M,-62,62,0.002062831286070923,0.053593745651469196
M,-64,55,0.0019732789795884453,0.05089623915619507
M,-58,80,0.0012127046285304807,0.052550635139357316
M,-88,48,0.002104555148696468,0.046279004395345325
M,-34,113,0.0011019061612424722,0.06150379734961567
M,-70,56,0.0023060622654595977,0.04851688976075337
M,-48,92,0.0014503140360781351,0.06180083407765455
M,-62,55,0.0011340908473276268,0.0526084898699129
M,-34,115,0.0007349097828138778,0.05113457358313303
M,2,93,2.5710183966866937e-06,0.017951853057237226
M,-58,69,0.002256631654519002,0.06971437082955724
M,-34,97,0.0011209666481426918,0.05280425522436957
M,-44,99,0.0013465214917980852,0.05713353987160962
M,-56,59,0.0015556206619692173,0.051203314568960774
M,-54,114,0.0010182220594571023,0.049536637386267776
M,-72,73,0.0016810344893141284,0.04636769469464128
M,-42,99,0.00039185957889244764,0.038949666535754185
M,-36,30,8.556505781166626e-05,0.03277439380035148
M,-48,47,0.00027256843318437004,0.04473140069525566
M,-30,13,2.446776293128113e-05,0.02883229143867104
M,-22,78,4.525683744639449e-06,0.01709972496788581
M,-48,44,0.000221894105215778,0.034850497450750376
M,-54,118,0.0011891833284832756,0.06544438228552933
M,-38,103,0.0008189695704991171,0.055081365961142256
M,-26,120,0.0004886328421460254,0.06596694889192473
M,-46,132,0.0019725436814945715,0.07760287043578572
M,-36,108,0.0016637163256263588,0.05843731991518692
M,-50,67,0.002269795735561573,0.05344152578592077
M,-34,106,0.001389107898379235,0.06028329456776979
M,-50,61,0.002653435183990492,0.0586239773638994
M,-42,87,0.0011805062383078418,0.05982169826210899
M,2,127,7.158028819929101e-06,0.025170617191211886
M,-68,36,0.0025712350427858394,0.05932168704854966
M,-24,81,0.0009151436026739809,0.057747988485466806
M,-66,56,0.0027602736553185557,0.05834502833420535
M,-36,89,0.0016450197045230809,0.06338608131385526
M,-52,76,0.002140920409558042,0.059474565328235106
M,-44,62,0.001714061272281479,0.04697482537987011
M,-22,94,0.0011254766765217638,0.05625211540033447
M,-54,57,0.0023605029031001324,0.055955373215948796
M,-22,105,0.0009051985116260843,0.07172083752368043
M,-58,54,0.0025368135300617048,0.0572319916781587
M,-46,63,1.9019290258807897e-05,0.017499952877498164
M,-24,77,0.0006141143429124237,0.05214045790304609
M,-64,54,0.00251405072960707,0.05119635885826489
M,-52,79,0.0012202738912797965,0.05976886147852636
M,-46,73,0.002169135908145553,0.0695766412102784
M,-26,88,0.0015829970999923682,0.05683507601585401
M,-28,85,0.002003647488352327,0.06604755614178498
M,-42,68,0.0013660828534369264,0.06090949101701249
M,-22,97,0.0009244743567541231,0.06586013349372258
M,-56,60,0.002172692072963771,0.05103946747411604
M,-24,102,0.0010567314370100826,0.05920578990770119
M,-18,108,8.832851727644784e-06,0.019314462848702953
M,-48,80,0.0013392667942484988,0.046745686607364105
M,-40,55,0.0007475026341006948,0.05129244407585042
M,-70,13,0.0002279635226447191,0.04519699038213299
M,-48,62,0.0005971808899775741,0.05336141354629122
M,-52,11,0.0003517088830922607,0.04870398587921056
M,-50,45,0.00039706785484537924,0.04443641358040319
M,-48,9,0.0001369090336441655,0.03577708720893446
M,-78,25,0.0005039518878281194,0.03838573744957454
M,-52,52,0.0005275302290145725,0.05454198200785373
M,-32,62,0.000392885257648845,0.04122596426371286
M,-44,64,4.630173115676661e-05,0.023060756241379383
M,-56,51,0.0015622885784869625,0.05285417997672566
