type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
S,-28,99,0.004324997557549255,0.08918581759365167
S,-44,91,0.008131956626560305,0.09937477723011909
S,-46,86,0.007540645787398518,0.10830925900998675
S,-88,40,0.00809552920368884,0.07146612861745687
S,-26,77,0.0008205058238159425,0.06366133456121816
S,-42,66,0.0006818295429629825,0.05202184254185552
S,-90,38,0.0076138984756019615,0.09011605786571643
S,-66,49,0.007421534269090428,0.07869046649404193
S,-42,67,0.0018357081294848848,0.05945236559963474
S,-72,42,0.004540823600632992,0.06999977475005938
S,-54,34,0.0007461299044332169,0.05883499055964112
S,-62,59,0.006699327352065423,0.08546111146881392
S,-30,78,0.004740390866389002,0.07878776377150692
S,-28,77,0.006358018274497543,0.07815943203419613
S,-76,68,0.009151097097552673,0.06806671450188692
S,-70,65,0.007209480370639156,0.09507753077001137
S,-70,48,0.0028222765785847806,0.05890362122816904
S,-32,34,0.0002228811086742079,0.04847888326470162
S,-68,35,0.0013156054850015314,0.04825664667920214
S,-56,55,0.0028544482174729757,0.07879632026241074
S,-50,42,0.0008746842314449266,0.05495784573343936
S,-40,80,0.0016319688273626542,0.075258144174061
S,-58,69,0.010890980820280645,0.08350825039724438
S,-76,58,0.011088486746175298,0.07794555151442754
S,-30,80,0.001055495411480451,0.06704971534920247
S,-48,63,0.005265068169377778,0.08562197917092958
S,-60,59,0.007530843100993159,0.08357859977504958
S,-50,87,0.008809568894548266,0.10682026935309814
S,-40,97,0.006980101229563069,0.08030477578176586
S,8,102,1.8230462286838848e-05,0.07387299678693317
S,-62,47,0.0038474110107401737,0.08047579777159336
S,-64,59,0.006466647556180496,0.07784664311379733
S,-60,60,0.006640467871843105,0.07042906645641503
S,-34,74,0.009124844740343764,0.11020762691741884
S,-60,62,0.010223005972011248,0.08152272243124224
S,-46,73,0.00561335441087843,0.0840172245373701
S,-60,55,0.007054194439200052,0.07767932434006529
S,-70,48,0.0050623556618084355,0.0840038929681178
S,-84,46,0.005185511761238784,0.06205394120046309
S,-62,65,0.012362051857759432,0.08086235377694279
S,-56,81,0.010921597461136984,0.09497380410521927
