type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,6,1,7.635548553133826e-08,0.029993093122263344
M,-32,58,0.00015439435875974847,0.022674201641555234
M,-24,36,1.6966129281372168e-05,0.014678855907450397
M,-16,39,1.3264411239841987e-05,0.020216333953075285
M,-20,47,9.522370730953015e-06,0.024143627007915162
M,-26,49,2.062160224479211e-05,0.021297848041876018
M,-52,34,7.222813106099471e-05,0.024225790380211693
M,-24,51,1.3635893900971292e-05,0.023242031602734622
M,-22,49,4.2239253025622244e-05,0.02699985961560656
M,-34,45,0.0004557819385844035,0.03576020488061322
M,-46,43,0.00018199653407916685,0.037855910503742964
M,-46,44,0.00017508410346534227,0.028827479816501064
M,-34,49,0.0003126483212760922,0.04243149766532374
M,8,28,2.5101123564514863e-07,0.00902163205240914
M,-36,49,0.00017252994785148847,0.03828356446157312
M,-50,40,0.00024201416224262036,0.036887695047945736
M,-42,47,0.00011221227487069561,0.03683390553027199
M,-52,41,0.00047277512766295354,0.042676348707101464
M,-54,47,3.372411435354062e-05,0.030189688792109676
M,-54,36,0.0005629673768799993,0.03878475429138692
M,-44,45,9.877460317456912e-05,0.03815523954912185
M,-32,50,0.00010730728487425408,0.035918815336292986
M,-58,41,0.0002023094121334943,0.03681293767883572
M,-50,45,0.00020793620496070657,0.03822175148492884
M,-48,35,6.197891734540277e-05,0.015912194241129312
M,-44,44,0.00019860424650261054,0.037653414528776456
M,-38,50,0.0003217548783754738,0.03718860635469597
M,-52,42,0.000569073118001143,0.048265550278376326
M,-16,54,0.0004670515381671063,0.05287680533993197
M,6,7,-3.832460260653285e-05,0.04232428812413069
M,-6,0,4.5920698293481174e-08,0.03745397656090696
M,0,0,-7.329985053185622e-07,0.035500627191547326
M,26,24,-0.00011563832177919199,0.033759676562959424
M,-56,37,4.247650452595352e-05,0.01475806394766295
M,-52,42,9.79183487102958e-05,0.017224830228446446
M,-26,45,2.0701206489696425e-06,0.009262281116572417
M,-40,43,1.3081243469987451e-05,0.012218189827007965
M,-52,47,4.769761728112404e-05,0.018932394797316184
M,-18,56,0.00019974911831751463,0.042521278653621146
M,-72,28,0.0012804219720200362,0.034980987574559176
M,-4,28,1.1919274643963499e-06,0.011683084889029083
M,-60,38,0.001298695046655282,0.03804415494762098
M,-64,44,0.00098500871931863,0.042638991942827664
M,-28,55,0.001136033398195647,0.0421074016283535
M,-64,39,0.0011331891277279178,0.04523602878709174
M,-92,30,0.0011151420622125404,0.036496877321053126
M,-54,43,0.0005135318260094411,0.037802665361756714
M,-70,41,0.0008936957313901186,0.048454044072966676
M,-36,46,0.0008122412332917133,0.0494618369600486
M,-78,32,0.0011408799886761909,0.04649948165381761
M,-56,42,0.0010469432106131188,0.04585082713561067
M,-54,27,0.00010283819480050947,0.012648715031548522
M,-54,42,0.0006770857070763115,0.04757380024861835
M,-52,47,0.0008123457517020139,0.049026796792600615
