type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.54,0.00022606295993029526,0.93,0.029885298309106027,0.0
1,0.55,-7.10649698148315e-05,0.94,0.02946405673030178,0.02
1,0.41,0.002223857508665922,0.03,0.023128071727121325,0.0
1,0.5,0.00011304463682110506,1.0,0.017707717133938143,0.0
1,0.51,-0.00021972705953438227,1.0,0.016976478903247404,0.0
1,0.44,8.823615562606612e-05,0.93,0.017812730264452913,0.0
1,0.58,-0.0007893459303703376,0.99,0.019145639546445208,0.0
1,0.48,9.737074765220988e-05,0.92,0.017133314903136913,0.0
1,0.56,-0.00015352095934244257,1.0,0.014744963004322948,0.0
1,0.52,0.0005089964369497367,0.74,0.017215722936941336,0.0
1,0.51,0.00017814509676845452,0.96,0.022465653509402925,0.0
1,0.56,-0.0003188363039643585,1.0,0.02189455428722889,0.0
1,0.53,8.216955737102683e-05,0.95,0.017903008974348242,0.0
1,0.35,0.0009729919999529891,0.03,0.011109115793461653,0.0
1,0.56,-0.00020082178165665244,0.93,0.020844990168540953,0.0
1,0.54,-0.00026379647040350587,0.99,0.017502545599529597,0.0
1,0.48,-1.2407780456807429e-05,0.96,0.018802059184564256,0.0
1,0.55,-0.0003803780431552924,1.0,0.01843676544039826,0.0
1,0.45,0.0002893380242765075,0.9,0.019823988703534197,0.0
1,0.55,-0.0003310031868527685,1.0,0.01644155168194893,0.0
1,0.58,-0.0007126483011281351,0.97,0.01650311601093815,0.0
1,0.52,-0.0002614925816686976,1.0,0.015296315365152873,0.11
1,0.32,0.03645889223583984,0.09,0.026325121958889076,0.11
1,0.34,0.026190379737180837,0.12,0.027708845095727415,0.22
1,0.34,0.02469064063040697,0.08,0.03986770419306488,0.06
1,0.33,0.03811508058759006,0.07,0.027002531344837002,0.17
1,0.39,0.0008552683311280924,0.34,0.017621990861235986,0.0
1,0.5,-0.00010258532940996557,1.0,0.01611531079148721,0.0
1,0.24,0.03865007670336403,0.1,0.026882690315706666,0.14
1,0.5,8.968893469019152e-05,0.62,0.01814840356564756,0.14
1,0.58,-0.00032247043124405625,0.96,0.01235325141709539,0.11
1,0.29,1.5712917691590552e-06,1.0,0.003071889456005265,0.0
1,0.43,0.002202561265712368,0.04,0.024252408836922323,0.0
1,0.42,0.00018773094477480217,0.85,0.014116243221172666,0.0
1,0.63,-0.000657153357792642,0.9,0.010118148181640006,0.0
1,0.36,0.014005664656327412,0.06,0.023899203042190714,0.16
1,0.37,0.011257560182767279,0.01,0.024534103972671854,0.07
1,0.35,0.008444307903641805,0.08,0.021600863682847284,0.12
1,0.44,0.00031028000059603946,0.33,0.014003920621681142,0.01
1,0.43,0.0023300831907158287,0.67,0.028818051672436177,0.0
1,0.61,-0.00017678746366528637,1.0,0.012598464518984389,0.01
1,0.41,0.006468706339184914,0.02,0.024269692089454942,0.1
1,0.44,0.0007085862251482727,0.08,0.01349603100082833,0.07
1,0.48,6.930129351425369e-05,0.9,0.012182805061555427,0.11
1,0.35,0.0009953430868699308,0.05,0.014086424036082654,0.0
1,0.56,-2.2982741926733437e-05,1.0,0.01580418533446911,0.05
1,0.43,0.00047074289946026486,0.75,0.018836633781783477,0.05
1,0.4,0.0030874098284682824,0.05,0.01927706750755979,0.0
1,0.43,0.005226012369149821,0.02,0.02204460896670301,0.01
1,0.41,0.0006340333606203318,0.46,0.01464484726157191,0.02
1,0.51,0.0031610234698617227,0.48,0.02988355594862452,0.04
1,0.56,-0.00015439403397992028,0.9,0.013755100416861671,0.03
