type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.41,0.0007466615331711226,0.34,0.021362374444230326,0.06
1,0.5,7.059864494746152e-05,0.91,0.02278124106093928,0.01
1,0.54,-6.638109848759544e-05,0.99,0.016562353125873102,0.0
1,0.47,6.265411024010265e-05,0.92,0.0096140907297467,0.0
1,0.45,6.276250269031066e-05,1.0,0.008201816141369729,0.0
1,0.44,1.0659019136472281e-05,1.0,0.00863657706591831,0.0
1,0.44,9.72491830428007e-05,1.0,0.008442937945152511,0.0
1,0.45,3.05742447533565e-05,0.95,0.0077437144709576345,0.01
1,0.49,1.4881978572867975e-05,1.0,0.007282911213574127,0.0
1,0.48,4.764926234684203e-05,0.91,0.008515791380393564,0.0
1,0.43,3.62170978911359e-05,0.66,0.008404495608828806,0.0
1,0.49,1.235581588212429e-05,1.0,0.010538578360432886,0.0
1,0.43,5.66294175179031e-05,0.98,0.008813149863377178,0.0
1,0.42,0.0002980458262767883,0.98,0.019801600445321692,0.0
1,0.43,2.9304120854433875e-05,1.0,0.008009571052762432,0.0
1,0.5,1.1500508749836036e-05,1.0,0.006979855015433816,0.0
1,0.4,0.00010789060169807603,0.99,0.011097858708524894,0.0
1,0.51,2.16728794345264e-05,0.99,0.009442551361743016,0.0
1,0.39,5.9540950907643394e-05,0.95,0.010096308591829492,0.0
1,0.4,0.00017216063671574936,0.71,0.008621803386780558,0.0
1,0.41,0.00017480296065855647,0.66,0.010667053629006778,0.0
1,0.45,0.00018758794775153667,0.9,0.013028132068593216,0.0
1,0.47,0.0003004397864163635,0.71,0.012991264017197619,0.0
1,0.42,7.998174156669693e-05,1.0,0.01289992925536832,0.0
1,0.5,0.0001921919405099363,0.82,0.020279338200596644,0.0
1,0.43,0.00011382402149212295,0.99,0.011685829511999828,0.0
1,0.53,8.910314656763167e-06,1.0,0.010837836481922568,0.0
1,0.38,0.00020485411249973636,0.56,0.011699626418024495,0.0
1,0.39,6.664127639630583e-05,0.96,0.009583551923242607,0.0
1,0.48,1.791595454107113e-05,0.98,0.007723872457836372,0.0
1,0.47,3.7119608102597873e-05,1.0,0.010675313041043636,0.0
1,0.53,1.141437333979461e-05,1.0,0.0075621700208203515,0.0
1,0.44,9.877682121125688e-05,0.97,0.00867108722839132,0.0
1,0.51,2.792537626832862e-05,1.0,0.009849243900635562,0.0
1,0.5,0.00016588368267232253,0.92,0.011740249582515409,0.0
1,0.47,0.0004250384111460497,0.9,0.017492703719418693,0.0
1,0.44,0.00011660821613933082,0.92,0.0110654411692413,0.0
1,0.43,0.00046302929334999214,0.8,0.012781526674876543,0.0
1,0.42,0.0002450347124827997,0.92,0.01880475858190434,0.01
1,0.45,0.00012731900047106045,0.99,0.018113007666429218,0.0
1,0.56,-7.153474184754139e-05,1.0,0.01379115334159562,0.0
1,0.5,9.793103269763144e-05,1.0,0.01611076877025374,0.0
1,0.48,3.0456533938383495e-05,1.0,0.013618315208271694,0.0
1,0.5,1.7664429524567764e-05,0.97,0.016358274357380072,0.0
1,0.58,5.6445085117001015e-06,0.98,0.0143968279549381,0.0
1,0.5,8.050772198266951e-05,1.0,0.013663054521931358,0.0
1,0.44,0.0001826242299100838,0.81,0.02316707174188594,0.0
1,0.49,0.00011189604342721759,1.0,0.02007849688650464,0.0
1,0.52,-4.584386327790182e-05,1.0,0.015176342952067745,0.0
1,0.51,9.882784048260739e-05,1.0,0.015115283830279623,0.0
1,0.5,2.4813783988199646e-06,1.0,0.01535323803129624,0.0
1,0.52,-2.815417552812013e-05,1.0,0.015807371789337575,0.0
1,0.5,-5.203411962632663e-05,0.99,0.016489210104301284,0.0
1,0.5,0.00015136832876002398,0.94,0.01696380381976057,0.0
1,0.45,1.635578079834113e-05,1.0,0.011083028711799189,0.0
1,0.54,-1.334977304149678e-06,1.0,0.01487620368668009,0.0
1,0.45,8.672089384804992e-05,0.97,0.014339913658576528,0.0
1,0.52,0.00014097610902794603,1.0,0.020372096848219248,0.0
1,0.44,0.00010402872977081476,0.99,0.020351342766631177,0.0
1,0.52,-2.50343605956012e-05,0.99,0.014281826700554194,0.0
1,0.46,0.00014050478043655548,0.91,0.015977905727646628,0.0
1,0.5,0.00022824787423929272,0.74,0.014608791338580058,0.0
1,0.41,0.00032266062260178475,0.93,0.016462510341695907,0.0
1,0.44,4.024405248548062e-05,0.98,0.015888831465296013,0.0
1,0.48,0.00010810537968716116,0.99,0.01604742145369329,0.0
1,0.48,3.11664033983774e-05,0.99,0.0228720763274464,0.0
1,0.52,1.4182285333856453e-05,0.99,0.017190868817457662,0.0
1,0.53,-2.971636929924816e-05,0.98,0.018159970199037496,0.0
1,0.43,2.3188918617410823e-05,0.95,0.015006453942182365,0.0
1,0.53,-2.152626210062752e-06,0.99,0.015642970310311446,0.0
1,0.47,0.0001111440847954399,0.96,0.018629117807511076,0.0
1,0.49,0.0001238554361692542,0.99,0.019556716377026852,0.0
1,0.53,1.6122757842808475e-05,0.96,0.012974554807132409,0.0
1,0.52,7.462015683325501e-05,0.99,0.013188144676845618,0.0
1,0.44,0.0003045586592985818,0.97,0.018450994861687508,0.0
1,0.52,3.904370613893123e-05,0.95,0.017215616278174816,0.0
1,0.54,-0.00013735061889997216,1.0,0.018242881056145396,0.0
1,0.57,-0.00012463804763887952,1.0,0.013591128797349104,0.0
1,0.49,-4.953004695175683e-05,1.0,0.014613477087497126,0.0
1,0.42,0.00010253061112557482,0.51,0.00987396821065841,0.02
1,0.47,-4.212514840212997e-05,0.99,0.014662837502604251,0.0
