type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.54,0.002062687645334924,0.12,0.017651484400808503,0.06
1,0.49,0.004995904970448646,0.03,0.030881456283990576,0.08
1,0.39,0.00516654978922272,0.17,0.01994171648808366,0.0
1,0.45,0.0006216031324886441,0.9,0.019046819456638265,0.0
1,0.44,0.0005271704033344377,0.98,0.01566061795212172,0.0
1,0.47,0.00018074127574220188,0.94,0.01715973525849856,0.0
1,0.44,0.0006494236063211958,0.19,0.01563618584026055,0.01
1,0.52,0.0003873342155698059,0.26,0.017273845092778007,0.0
1,0.47,0.0006193531444076846,0.33,0.016909929552701184,0.0
1,0.42,0.0005191452581258751,0.25,0.015924838872625996,0.01
1,0.4,0.0008760494974466664,0.06,0.016941398318948142,0.03
1,0.46,0.0003245286399276473,0.48,0.017660658539893532,0.0
1,0.45,0.00041697664833180496,0.25,0.01871461089851855,0.01
1,0.46,0.0010844710465569497,0.11,0.018450028092191383,0.02
1,0.43,0.0008048781499631996,0.15,0.020301949026326552,0.0
1,0.39,0.0030071112205249436,0.07,0.02592437167667191,0.0
1,0.42,0.001674127938874605,0.09,0.025456141245507713,0.01
1,0.43,0.0017828874247443223,0.17,0.024886699570844644,0.0
1,0.45,0.0020754802377036512,0.03,0.023728301340871193,0.02
1,0.36,0.003264036159452753,0.05,0.025174551975730687,0.03
1,0.43,0.0018327667354805538,0.25,0.028505361286424967,0.01
1,0.43,0.0017213181195987644,0.15,0.028170599399967272,0.02
1,0.37,0.0028520195054641683,0.07,0.022106167146191926,0.0
1,0.47,0.001371247793752965,0.2,0.02248694673627464,0.01
1,0.38,0.005756715295833419,0.02,0.023053281885510233,0.02
1,0.45,0.0008511568387825301,0.26,0.022895959040807535,0.0
1,0.4,0.0009109650604345269,0.28,0.022265754154738946,0.0
1,0.41,0.0013117295974595846,0.11,0.02169880530623248,0.0
1,0.45,0.000947993622971476,0.17,0.01897918858213645,0.01
1,0.42,0.0014236100429445811,0.21,0.02440126180613308,0.0
1,0.44,0.005683732587136593,0.01,0.025893086774343235,0.01
1,0.45,0.0008511901150338842,0.17,0.01919290449061365,0.0
1,0.38,0.0013286394423154557,0.25,0.023375457910107176,0.0
1,0.47,0.0011300673234364877,0.3,0.021677941931936517,0.0
1,0.4,0.0017177399033821291,0.12,0.021057340480611118,0.01
1,0.37,0.005883787880823013,0.06,0.024070160923402677,0.01
1,0.45,0.001662111721247135,0.05,0.02283646100477919,0.0
1,0.43,0.0012248953397927375,0.41,0.023743740048057477,0.0
1,0.44,0.001266286719437853,0.27,0.025532306878173525,0.0
1,0.41,0.0017210522742424131,0.15,0.02226594265118702,0.0
1,0.37,0.003039216911768692,0.06,0.024379789900636772,0.02
1,0.47,0.00035091123218688926,0.58,0.01927342713138478,0.0
1,0.39,0.0010969422078095383,0.35,0.024174212728951133,0.0
1,0.44,0.0009330093452634981,0.2,0.01985951834775016,0.0
1,0.45,0.002111405388148546,0.09,0.022996192922657813,0.01
1,0.45,0.0007572672812729877,0.26,0.01947457693021557,0.0
1,0.35,0.05194724966050407,0.03,0.025275323660108543,0.03
1,0.47,0.0011086520841953424,0.2,0.02316489201310918,0.0
1,0.37,0.0009392903839617512,0.24,0.020253613440184563,0.0
1,0.35,0.0023608700596357834,0.17,0.024023898405140794,0.02
1,0.4,0.0008299066341125544,0.4,0.02246754498225451,0.0
1,0.39,0.0012226372488619377,0.22,0.022749421549381893,0.01
1,0.4,0.0016840138756537676,0.1,0.02256840887554073,0.01
1,0.44,0.002943686652215507,0.05,0.02285844736805049,0.01
1,0.39,0.0020104572244208185,0.16,0.027328326418108596,0.0
1,0.41,0.001601729969809408,0.1,0.024102865146440944,0.0
1,0.41,0.00245314861301702,0.09,0.02270268612595442,0.01
1,0.27,0.08748296081998393,0.15,0.048787944377934454,0.2
1,0.42,0.0019799024139146994,0.04,0.024757487245325834,0.0
1,0.45,0.0015293544606616877,0.12,0.0241898439782996,0.0
1,0.43,0.0028864225050471842,0.15,0.020841585902633443,0.0
1,0.51,0.0006362750998147633,0.05,0.017662581904689445,0.0
1,0.4,0.0015131369346294686,0.17,0.02142219515566861,0.01
1,0.43,0.0009848070419903928,0.56,0.02314260171399489,0.0
1,0.49,0.010884294277457181,0.02,0.026354535442606936,0.03
1,0.4,0.006435250155769551,0.02,0.023832590941486285,0.02
1,0.42,0.0011038553300084532,0.34,0.02186369392303399,0.0
1,0.4,0.0011611798043192362,0.36,0.022526002882430004,0.0
1,0.47,0.00934715268777283,0.03,0.026469692359167688,0.04
1,0.46,0.001189494677041533,0.07,0.02052120445998911,0.0
1,0.37,0.0017049309295450125,0.09,0.02183462811101647,0.0
1,0.45,0.0013463809739629,0.3,0.02467232888439333,0.0
1,0.44,0.0011702529533777087,0.25,0.023999564227515705,0.0
1,0.44,0.0012992446868968213,0.21,0.021518664391442587,0.0
1,0.36,0.002392403923689169,0.15,0.02432220154656011,0.01
1,0.47,0.00042997689961983933,0.57,0.020826766777565068,0.01
1,0.45,0.0008319041361331941,0.33,0.019652545625102966,0.0
1,0.43,0.000694809569386962,0.17,0.017979942408507622,0.0
1,0.4,0.003029438414266163,0.05,0.023208470297090986,0.01
1,0.38,0.004484699150612163,0.05,0.02322123300290652,0.0
1,0.5,0.00036622516016551445,0.67,0.022793725114785945,0.0
1,0.47,0.0008875809117565197,0.35,0.0219625834889732,0.0
1,0.47,0.0006731664639467611,0.25,0.019143152651759456,0.0
1,0.37,0.00211317650619876,0.14,0.0224041522532147,0.02
1,0.46,0.0008351322079728885,0.42,0.022636197519438534,0.0
1,0.39,0.001072029706520131,0.26,0.020844644104049168,0.0
1,0.4,0.0010118826491523393,0.23,0.018257793185092474,0.0
1,0.39,0.0024938385076317036,0.08,0.02419783468392746,0.01
1,0.46,0.00151824552261143,0.2,0.028507215487430553,0.0
1,0.39,0.001450223589160574,0.14,0.024371977244856933,0.0
1,0.41,0.0019051359825402415,0.27,0.021056985448660952,0.0
1,0.54,0.0001818747705169028,0.66,0.020781463418379376,0.01
1,0.45,0.0008709188281932435,0.92,0.022280363788797324,0.0
1,0.47,0.000367959978043078,0.83,0.017453378392504947,0.0
1,0.39,0.00045908214037102305,0.99,0.013338728818603977,0.0
1,0.43,0.0016226007143310117,0.01,0.016307249709476276,0.0
1,0.38,0.002478948609847938,0.01,0.02438256569609361,0.0
1,0.4,0.001857436336662585,0.04,0.02739473546241486,0.0
1,0.39,0.0015717167621466755,0.01,0.022818908391286946,0.0
1,0.39,0.0017387985743811364,0.05,0.02273371144150892,0.03
1,0.42,0.0008211416215850548,0.08,0.017673561124147745,0.05
1,0.37,0.012625847483238747,0.03,0.025873735008864765,0.0
1,0.35,0.002219030458425419,0.07,0.0234328542536388,0.05
1,0.4,0.0005741475401458344,0.1,0.0168481313383431,0.02
