type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.51,0.0004999089325725732,0.94,0.023354750137998568,0.35
1,0.49,0.00060903814485209,0.51,0.01960431490469461,0.17
1,0.34,0.01093356979296056,0.17,0.0304685384608351,0.06
1,0.37,0.01783591797978132,0.1,0.029675497893143728,0.07
1,0.41,0.009868862792570514,0.14,0.031804504083716385,0.14
1,0.37,0.011731293353001243,0.09,0.03148455344659067,0.11
1,0.5,0.006425631631399067,0.16,0.03343659283493843,0.06
1,0.42,0.0033884733087089247,0.09,0.02355079174329273,0.01
1,0.36,0.008339290457417334,0.13,0.0314849533576159,0.07
1,0.42,0.010064050801597994,0.11,0.03550152611248178,0.07
1,0.46,0.003352828874877065,0.45,0.02934535160793737,0.05
1,0.4,0.00974929366340352,0.07,0.03482415114983958,0.04
1,0.4,0.0009401420191896052,0.44,0.015382843928744137,0.05
1,0.4,0.005612212943908233,0.13,0.031041286562555913,0.01
1,0.43,0.00577169423664386,0.15,0.028662128319750173,0.07
1,0.39,0.00785027923088652,0.13,0.029622781306173556,0.08
1,0.42,0.005277320841232872,0.2,0.02775948416487695,0.02
1,0.36,0.01306119870776247,0.09,0.030323478432864516,0.1
1,0.41,0.0072851508385811245,0.09,0.0265732277247408,0.1
1,0.37,0.01741495424749361,0.05,0.03127081146212173,0.12
1,0.42,0.0044064457750747545,0.25,0.02644210341352074,0.09
1,0.4,0.004108393808261419,0.19,0.028621075269388084,0.04
1,0.44,0.007746594993785479,0.27,0.03878264718369325,0.04
1,0.41,0.005361667536240795,0.01,0.023780715650820305,0.1
1,0.45,0.0059877745292922805,0.09,0.028054219526942613,0.13
1,0.52,0.0017885488840051421,0.41,0.026146015022642632,0.06
1,0.5,0.0021824493942660637,0.17,0.02142357267284938,0.04
1,0.4,0.002206718645057997,0.34,0.022566682781088154,0.0
1,0.41,0.004319898317716861,0.12,0.026398209170003545,0.06
1,0.45,0.0034829540393344896,0.11,0.028804913856961503,0.05
1,0.4,0.0024083484284546344,0.36,0.02342620389109124,0.03
1,0.49,0.001838552144908127,0.5,0.024089720184098405,0.02
1,0.33,0.00707791046303703,0.1,0.026471297730070998,0.02
1,0.31,0.004478333791031542,0.03,0.021269272670480954,0.0
1,0.37,0.009766199303802018,0.13,0.028894125032273905,0.18
1,0.39,0.004285479400135168,0.28,0.02865139106229805,0.02
1,0.42,0.007263819395539652,0.15,0.03247051156873987,0.0
1,0.49,0.0021008440360734053,0.49,0.028274892297553842,0.03
1,0.47,0.0033116248270689537,0.21,0.026396872632194042,0.0
1,0.39,0.00278356623036502,0.37,0.022536114267791004,0.02
1,0.35,0.010430226074932316,0.11,0.04085622973109525,0.09
1,0.42,0.0028527211610164796,0.06,0.022599502460322086,0.06
1,0.38,0.005943876173728319,0.02,0.025192644721071727,0.08
1,0.44,0.005778762900154951,0.07,0.03002891977118399,0.01
1,0.38,0.006656094842799289,0.09,0.027065771181068277,0.08
1,0.41,0.0060161255797612665,0.13,0.02797371036681667,0.1
1,0.41,0.006726900830981969,0.11,0.029755219730573407,0.06
1,0.44,0.0010633721009138343,0.18,0.01592830585965719,0.07
1,0.33,0.011535614450838932,0.06,0.02846326193239085,0.04
1,0.45,0.006234981876759941,0.19,0.026544876787933422,0.06
1,0.38,0.013973386623431417,0.07,0.030614153570523807,0.06
1,0.39,0.003650108765849399,0.18,0.024312115494135547,0.14
1,0.57,-2.3244778961146613e-05,0.67,0.019428091771237953,0.07
1,0.54,0.00020991912383445366,0.71,0.019813108866163238,0.03
1,0.57,0.0007920623062805874,0.39,0.02153649720770987,0.0
1,0.48,0.0033797543930545733,0.17,0.02760973961742619,0.1
1,0.38,0.0036502493580769487,0.08,0.021529541303131377,0.01
1,0.51,-0.0001655441220199238,0.75,0.020012694457624988,0.07
1,0.54,-0.0004551823653654615,0.82,0.019633382456720555,0.0
1,0.46,0.0015666598099382373,0.53,0.021900591785078947,0.0
1,0.47,0.0007295153432437495,0.72,0.01929636702799866,0.01
1,0.41,0.009486925095108364,0.12,0.03257624916894653,0.07
1,0.43,0.0028655024237367603,0.39,0.028447429220182147,0.0
1,0.36,0.013132798390462356,0.11,0.03792304071763998,0.0
1,0.55,0.002703224410428914,0.1,0.030170640399911137,0.0
1,0.46,0.005152633023941936,0.1,0.026257606147098274,0.0
1,0.33,0.007585723817450017,0.12,0.031403190880287944,0.0
1,0.36,0.005325809767297278,0.13,0.025024376283158248,0.08
1,0.36,0.006846913916043846,0.18,0.03405536368920203,0.01
1,0.41,0.007123922868389955,0.11,0.034496240854131395,0.03
1,0.36,0.0016529649390929092,0.53,0.019157144937146323,0.02
1,0.43,0.0015122279856867962,0.14,0.02058086366545479,0.03
1,0.41,0.018304697557675484,0.04,0.03334951219698385,0.08
1,0.43,0.0030754340280237224,0.31,0.02542392938931735,0.03
1,0.37,0.013289072499851081,0.12,0.03166964012884252,0.05
1,0.4,0.006186298449943891,0.08,0.026548784803116374,0.11
1,0.46,0.0034044695174566676,0.14,0.02134169840961949,0.02
1,0.41,0.002395841924575324,0.35,0.02434068538021489,0.0
1,0.38,0.013398516392329328,0.06,0.029262935605494585,0.01
1,0.47,0.0016166549373848938,0.53,0.022972905413127076,0.01
1,0.46,0.002472267822395751,0.1,0.02065553824311415,0.01
1,0.49,0.0007129547263190309,0.75,0.02245511322129496,0.07
1,0.46,0.0021279150959852776,0.7,0.02439692377867536,0.02
1,0.46,0.0009532146731924633,0.52,0.021489150214039812,0.0
1,0.42,0.002773908511322319,0.34,0.023500409673962705,0.0
1,0.47,0.0011890063504795818,0.39,0.02161288261015755,0.15
1,0.4,0.0017465938700900342,0.26,0.01945881112723215,0.08
1,0.49,0.0019262222527237783,0.24,0.02329282042817729,0.03
1,0.41,0.008170123930403709,0.06,0.026257606147098274,0.17
1,0.49,0.0077022407694059105,0.08,0.02677535055416446,0.31
1,0.58,-0.0011046708084769268,1.0,0.019168841847283815,0.02
1,0.45,0.0014513378560632344,0.14,0.023825209907315095,0.06
1,0.34,0.029434470611944777,0.06,0.023033241110273397,0.45
1,0.34,0.012434532586590916,0.14,0.028117402966522428,0.21
1,0.43,0.005543975808349779,0.17,0.023554545034138993,0.12
1,0.37,0.002960947146892656,0.24,0.024806712048242162,0.08
1,0.4,0.011618384783893872,0.11,0.02548372194207362,0.07
1,0.37,0.015218416341809371,0.01,0.03252643159656212,0.08
1,0.49,0.0006986218859076096,0.79,0.020001425466327893,0.09
1,0.5,0.002053151507516583,0.28,0.021711458690189644,0.09
1,0.33,0.0072060352161082315,0.1,0.02119350540999737,0.05
1,0.46,0.0014764635586702118,0.45,0.023082807570253567,0.12
1,0.46,0.0019907511032240797,0.45,0.024525992875285868,0.06
1,0.38,0.0024372193537818957,0.17,0.0212171510862471,0.06
1,0.35,0.00445177974645723,0.19,0.0211160067074427,0.04
1,0.59,-0.0008959791850677249,0.61,0.02461066634873643,0.08
1,0.49,0.0005685331064465417,0.54,0.019783794906692423,0.06
1,0.5,0.001095419694042128,0.76,0.022812653986395457,0.07
1,0.51,0.0012486036811668333,0.59,0.018689041230389412,0.0
1,0.5,-9.336703475256869e-05,0.86,0.0207764074812752,0.03
