type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
0,0.23,0.015490529501736473,0.03,0.027284185049063474,0.78
0,0.21,0.04616796423934109,0.1,0.05128948024963691,0.1
0,0.3,0.07180091975478288,0.11,0.034722369508269596,0.07
0,0.31,0.020499337109754556,0.08,0.033489258896982156,0.01
0,0.25,0.0342543420492924,0.13,0.03915430433748901,0.04
0,0.3,0.0328799352695454,0.04,0.030931323943403043,0.12
0,0.29,0.0247667960709101,0.04,0.02857180719378981,0.05
0,0.34,0.0027742551770529545,0.04,0.010385394164987152,0.75
0,0.28,0.026693360500704002,0.02,0.03889074632969684,0.3
0,0.39,3.580792321247686e-05,0.01,0.00465384420757151,0.39
0,0.49,0.000695686708566428,0.31,0.01924840901499926,0.26
0,0.52,0.00030242372014236264,0.02,0.016147662110482502,0.65
0,0.34,0.019686120634976597,0.02,0.034053214598128316,0.06
0,0.23,0.18490994406287767,0.08,0.07688977794938116,0.36
0,0.23,0.16494457310975974,0.1,0.0709686027046464,0.34
0,0.21,0.025826223774303606,0.02,0.032402807380659295,0.13
0,0.27,0.0452119831241406,0.07,0.0431867424669864,0.21
0,0.31,0.03161761047727692,0.03,0.03577831498394616,0.15
0,0.26,0.04230069678912027,0.09,0.03584364644720832,0.09
0,0.25,0.019506856904196474,0.08,0.032511274570535056,0.15
0,0.24,0.0319715795891014,0.05,0.03549088091327003,0.12
0,0.29,0.029927121858816488,0.2,0.05161465822935399,0.07
0,0.29,0.028337359128378908,0.05,0.04428804062809113,0.1
0,0.23,0.0628971684160113,0.04,0.041563516935708075,0.24
0,0.38,0.0412454330306019,0.18,0.05188803107659885,0.11
0,0.27,0.04239216069478063,0.07,0.04395242599467951,0.2
0,0.31,0.033643047109475764,0.11,0.042605267123464796,0.15
0,0.33,0.05265163715956096,0.04,0.04715901348634469,0.09
0,0.44,0.011718397646490273,0.15,0.05017766635240697,0.26
0,0.41,0.0003720932420973077,0.56,0.01737604590140402,0.0
0,0.25,0.048797377608753,0.06,0.05036853579193262,0.11
0,0.31,0.01868593491828785,0.11,0.04089437817016275,0.08
0,0.31,0.012159017279095555,0.06,0.02404845338491984,0.02
0,0.29,0.025510400368928897,0.03,0.028247636377029314,0.05
0,0.43,0.0028884048192525822,0.02,0.021567175053621438,0.26
0,0.27,0.03000970440793283,0.06,0.033735579613703645,0.11
0,0.29,0.009977177687679266,0.14,0.029910641022446022,0.04
0,0.39,0.0017628602650690017,0.04,0.024986102113868567,0.01
0,0.31,0.0026796104638450416,0.09,0.022244143060618574,0.08
0,0.4,0.0016971386638787126,0.1,0.02479344828112398,0.02
0,0.38,0.003970487745388414,0.11,0.024786908981223488,0.01
0,0.3,0.010561818748046216,0.05,0.03325103869893333,0.05
0,0.29,0.0180763528340054,0.02,0.024922674143236588,0.05
0,0.27,0.05390361902953501,0.03,0.04028583774370528,0.07
0,0.25,0.016342031237194465,0.01,0.022130544528964867,0.32
0,0.28,0.02232574361617684,0.02,0.04091075096094023,0.13
0,0.32,0.015123916729602355,0.02,0.034990108261468346,0.13
0,0.36,0.012821256549832771,0.04,0.021333885936964638,0.15
0,0.31,0.022517693787270626,0.09,0.04132942633353037,0.05
0,0.24,0.0537725185752542,0.04,0.047780539514202726,0.25
0,0.36,0.028479031947824706,0.04,0.042155368179955265,0.26
0,0.3,0.027981896202056298,0.03,0.026999364250300542,0.35
0,0.28,0.02914687941640732,0.09,0.047638775360224504,0.16
0,0.38,0.005550877211760572,0.04,0.028197571630902897,0.11
0,0.3,0.054484260103123947,0.09,0.03634098739085147,0.2
0,0.23,0.06658271097482651,0.09,0.043876544123171476,0.19
0,0.26,0.07732947186453727,0.03,0.052058368597983816,0.08
0,0.28,0.05960781062868634,0.11,0.0560286455333596,0.24
0,0.33,0.014523999619849893,0.02,0.038318797957111156,0.28
0,0.26,0.05270207819734554,0.04,0.03947054373709138,0.15
0,0.32,0.0160505748379946,0.03,0.032256650766086394,0.12
0,0.33,0.005765355366543861,0.07,0.026960663632790646,0.21
0,0.31,0.02044016207256243,0.21,0.03376354853878076,0.2
0,0.36,0.020044351541502036,0.06,0.04248665947163092,0.26
0,0.31,0.0412364862732337,0.06,0.0404758688857201,0.21
0,0.26,0.06709041113769157,0.02,0.039716949696592695,0.22
0,0.4,0.004833612034290322,0.06,0.026867751928098357,0.28
0,0.36,0.019517321997108858,0.03,0.03248684228594233,0.03
0,0.32,0.03389776197993145,0.19,0.047287259689078154,0.27
0,0.28,0.02491431089818088,0.11,0.028644400071141253,0.04
0,0.38,0.005337168623960502,0.02,0.027293951290082295,0.54
0,0.25,0.055798400568623154,0.08,0.03593993207555313,0.14
0,0.24,0.046916488115394665,0.06,0.04235410275187341,0.48
0,0.31,0.019324850127884416,0.09,0.03255918987538265,0.21
0,0.27,0.05095174455686295,0.09,0.04239609155992066,0.32
0,0.27,0.05374872902174275,0.06,0.04793646974324615,0.16
0,0.35,0.003988391866585641,0.03,0.02608006228457265,0.11
0,0.39,0.003154002091630097,0.04,0.02474280301403531,0.06
0,0.36,0.00833651227126152,0.02,0.02255479994886701,0.24
0,0.45,0.0006558639789130733,0.45,0.020131846559268758,0.12
0,0.32,0.004251622278685077,0.02,0.01952238244570649,0.1
0,0.25,0.02085544995878967,0.02,0.025845129310133667,0.11
0,0.29,0.024703023833851603,0.03,0.03535557016288623,0.12
0,0.21,0.01761791144576773,0.02,0.031770711725920844,0.14
0,0.23,0.010356047232216553,0.02,0.0255493506106153,0.14
0,0.2,0.008106512945828575,0.02,0.02364028461190086,0.21
0,0.17,0.019923038044357876,0.06,0.026604792476756865,0.16
0,0.27,0.01757962231730173,0.06,0.028032359424461726,0.37
0,0.25,0.00888074277808367,0.03,0.02920499285061224,0.23
0,0.28,0.004873921517332001,0.03,0.019240332814874993,0.2
0,0.21,0.016661203279497744,0.05,0.01815990519795403,0.15
0,0.19,0.0040640022439629745,0.02,0.016653353776725513,0.15
0,0.28,0.001134879258442854,0.03,0.01821844193635195,0.1
0,0.18,0.006230585706446956,0.06,0.02316353877958919,0.16
0,0.24,0.03807022373467259,0.04,0.03289340827163971,0.35
0,0.29,0.0037318794594313072,0.05,0.027649438667079695,0.28
0,0.24,0.03510102221132282,0.07,0.03873017941180902,0.26
0,0.31,0.007562449648387389,0.01,0.03081086063693687,0.11
0,0.23,0.02074499032082843,0.08,0.0288967258982237,0.32
0,0.35,0.0033239636126250827,0.01,0.016104230244192483,0.3
0,0.28,0.015819389691181216,0.12,0.03470475520271153,0.3
0,0.31,0.003062412819159677,0.01,0.01761911025476703,0.2
0,0.25,0.012843007401488986,0.05,0.024356694433379584,0.18
0,0.35,0.0041989350646393355,0.03,0.02329184064778414,0.22
0,0.35,0.0030642624585994756,0.01,0.020331206160982496,0.1
0,0.25,0.005338129507745841,0.04,0.015162595596100122,0.18
0,0.31,0.005514789338846283,0.04,0.026528789073702458,0.11
