type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.5,9.36307052991238e-05,1.0,0.013575196607166155,0.0
1,0.55,-0.0003557478788739904,1.0,0.016623762001003163,0.14
1,0.56,-0.0001565367375656397,1.0,0.01711220443361085,0.03
1,0.52,0.00015551945038997273,1.0,0.01584949873747734,0.0
1,0.49,0.0001030276684076702,1.0,0.014828968791524032,0.0
1,0.5,0.0002689602296459228,1.0,0.014358130682666045,0.01
1,0.4,0.000755590436461504,1.0,0.012555468338854757,0.0
1,0.44,0.0003264930108591482,1.0,0.01560413576157351,0.0
1,0.54,-4.4874022284392496e-05,1.0,0.013553469742243059,0.01
1,0.49,0.00023673372234008256,1.0,0.013609606046035371,0.0
1,0.51,-0.00010773769516753474,1.0,0.015208121691417244,0.0
1,0.45,0.00012908266190562542,1.0,0.012924399043103153,0.0
1,0.46,0.0002251020472874123,1.0,0.013913718869372146,0.0
1,0.47,3.681652339156204e-05,1.0,0.013105640709677516,0.0
1,0.5,-5.412206994913501e-07,1.0,0.01896018878494106,0.12
1,0.59,-3.656929115402135e-06,0.99,0.005328895529156735,0.0
1,0.4,1.2370269141587997e-05,1.0,0.0053730153369519725,0.0
1,0.59,-3.6470267787906624e-05,0.75,0.004753170568691975,0.0
1,0.56,1.2907194438699174e-05,0.88,0.0060890336004796935,0.28
1,0.49,7.067001141394738e-06,1.0,0.0052542897392581335,0.0
1,0.53,8.015052936810403e-08,1.0,0.005276881654100805,0.01
1,0.39,4.923228077436286e-06,1.0,0.005905238219353682,0.06
1,0.43,4.316226158811619e-06,1.0,0.004144310518634579,0.0
1,0.55,-6.452791831403905e-06,1.0,0.0034998631109121247,0.0
1,0.49,5.552345371898069e-06,0.03,0.0039132340538962215,0.0
1,0.57,-4.0257518466994635e-05,0.92,0.005976173958677634,0.0
1,0.51,1.8224384894357045e-05,0.96,0.006125178008184386,0.0
1,0.47,1.306943769789937e-05,0.83,0.005470480716389409,0.0
1,0.5,5.486286070929992e-06,0.94,0.00581481620600589,0.15
1,0.55,5.589071412008895e-06,1.0,0.005560723254496359,0.0
1,0.56,-1.0220053848535267e-05,1.0,0.009885013604372847,0.0
1,0.48,3.449949660192787e-06,1.0,0.008690532353742548,0.0
1,0.45,2.0743414523783697e-05,1.0,0.008675548197349194,0.0
1,0.4,5.4579156902758846e-05,1.0,0.008683330497860573,0.0
1,0.44,8.46425784488956e-05,1.0,0.01013128371004292,0.0
1,0.44,6.881815956209545e-05,1.0,0.010333663173029084,0.0
1,0.48,3.5809997458087266e-05,1.0,0.010763335897322574,0.0
1,0.48,1.3645948555840615e-05,1.0,0.008311028864044785,0.0
1,0.5,1.1056704138455837e-05,1.0,0.0073751095232164445,0.0
1,0.49,1.879763222589949e-05,1.0,0.006278585479331883,0.0
1,0.49,-3.067644857110854e-06,1.0,0.005474986247480674,0.0
1,0.5,5.404703157788697e-06,1.0,0.007700675856891537,0.0
1,0.48,1.0105556715104272e-05,1.0,0.007654140299682546,0.0
1,0.43,1.48876031714201e-05,1.0,0.009474873693801594,0.0
1,0.47,3.14926580974789e-05,1.0,0.009194637956106496,0.0
1,0.61,-0.00120539300098462,0.95,0.014885775417000233,0.05
1,0.63,-0.002163341235579488,1.0,0.024300168627236454,0.01
1,0.4,0.0002066468072515489,0.78,0.011587093493681424,0.02
1,0.44,0.00022621786987428257,0.91,0.010739584402776075,0.0
1,0.47,1.8766745029776953e-05,0.96,0.00973888448082613,0.0
1,0.42,0.00010310582689171647,0.29,0.008978091320593691,0.01
1,0.38,0.000660527654328683,0.03,0.012864223161499959,0.04
1,0.49,-0.0007622115683650889,1.0,0.01583437278470747,0.0
1,0.35,0.002980142389790487,0.19,0.01943074469759183,0.03
1,0.27,0.007555716395288531,0.01,0.0249111569811815,0.0
1,0.46,0.0021872336443897198,0.74,0.024219787407889704,0.0
1,0.53,3.6803650301498136e-05,0.85,0.01637285223102136,0.13
1,0.39,0.0012460649304636272,0.11,0.013683831051913635,0.13
1,0.31,0.004605271557052228,0.15,0.02110566240341901,0.05
1,0.41,0.0019734299561011918,0.84,0.03630789516597542,0.04
1,0.3,0.00029984157468191904,0.03,0.011813485555136283,0.01
1,0.39,0.0007105520398316719,0.05,0.013729875820033145,0.01
1,0.25,0.019959157355385115,0.02,0.023469386385933926,0.44
1,0.21,0.0002597675255127839,0.03,0.005752955181957063,0.02
1,0.17,0.007428346500595499,0.01,0.014620700250897357,0.06
1,0.14,0.0170158192839921,0.04,0.01817056948580957,0.11
1,0.28,1.0116799790910447e-05,0.09,0.0039362923955477795,0.02
1,0.43,0.00036682432682247574,0.28,0.012930151700357533,0.01
1,0.42,5.844759523402016e-05,0.15,0.007356412859993164,0.01
1,0.39,0.00016857818805866254,0.23,0.008178034657557284,0.0
